Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0015287,-0.0001076,0.00024745,0,0,0,0.42363,0.0011638,7.4381E-07,-2.7807E-06,0.001198,-1.3223E-07,0.002121,0,0,0,0,0,0,package://Assem2/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Assem2/meshes/base_link.STL,,Base-1;Layer1-1;Top-1;Body3_caster-3;Body3_caster-1;MM-JGB37 v4.stp-1;JGB37-520.STEP-2;MM-JGB37 v4.stp-2;JGB37-520.STEP-1,Base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_wheel,1.62522661995013E-10,-3.99080694271081E-05,8.68782490393016E-10,0,0,0,0.0351748247993373,1.52372845986856E-05,1.25092023701013E-14,-4.72753666347404E-10,2.57858858489583E-05,8.04223696040072E-14,1.52369776211146E-05,0,0,0,0,0,0,package://Assem2/meshes/left_wheel.STL,0.333333333333333,0.333333333333333,0.333333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/left_wheel.STL,,65mmÝrnÎ;Å-žE „68mm.STEP-2/____.STEP-1;65mmÝrnÎ;Å-žE „68mm.STEP-2/________.STEP-1;65mmÝrnÎ;Å-žE „68mm.STEP-2/3MM______.STEP-1,left_wheel,left_wheel_axis,left_wheel_joint,continuous,-0.00110236671182662,0.09918052553471,-0.0602118007276669,0,0,0,base_link,0,-1,0,10,10,0,0,,,0.1,0.1,,,,
right_wheel,-7.65266738866899E-10,-0.000210091929246703,-4.04959954458661E-10,0,0,0,0.0351748248061151,1.52372891167623E-05,7.76145179179897E-14,-4.71269282107877E-10,2.57858858523892E-05,4.03100610731925E-14,1.5236973107932E-05,0,0,0,0,0,0,package://Assem2/meshes/right_wheel.STL,0.333333333333333,0.333333333333333,0.333333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/right_wheel.STL,,65mmÝrnÎ;Å-žE „68mm.STEP-1/____.STEP-1;65mmÝrnÎ;Å-žE „68mm.STEP-1/________.STEP-1;65mmÝrnÎ;Å-žE „68mm.STEP-1/3MM______.STEP-1,right_wheel,right_wheel_axis,right_wheel_axis,continuous,-0.00110236743602354,-0.0990963652347736,-0.0602118007276707,0,0,0,base_link,0,1,0,10,10,0,0,,,0.1,0.1,,,,
front_castor_swivel,-0.00662747137712966,0.00082573191732882,-0.011755530269531,0,0,0,0.00225929587173408,2.94235794193693E-07,9.72459226692024E-09,-9.13118605246731E-08,2.99032553651638E-07,1.71049060747718E-08,3.24471502317489E-07,0,0,0,0,0,0,package://Assem2/meshes/front_castor_swivel.STL,0.705882352941176,0.705882352941176,0.705882352941176,1,0,0,0,0,0,0,package://Assem2/meshes/front_castor_swivel.STL,,Body2_caster-3,front_castor_swivel,front_castor_swivel_axis,front_castor_swivel_joint,continuous,0.0682855861771881,-8.29198500289507E-05,-0.0559118007276681,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
front_castor_wheel,-4.17806118347963E-05,0.00223643989380329,-3.33066907387547E-16,0,0,0,0.00578153317426048,4.38135168803409E-07,1.60705884622464E-08,2.9702993554684E-24,7.37153144661598E-07,-1.38374641237601E-23,4.37273942643726E-07,0,0,0,0,0,0,package://Assem2/meshes/front_castor_wheel.STL,0.705882352941176,0.705882352941176,0.705882352941176,1,0,0,0,0,0,0,package://Assem2/meshes/front_castor_wheel.STL,,Body1_caster-4,front_castor_wheel,front_castor_wheel_axis,front_castor_wheel_joint,continuous,-0.0154360099098718,-0.00140698189836441,-0.02325,0,0,0,front_castor_swivel,0.0535134190604983,0.998567130432629,0,10,10,,,,,0.1,0.1,,,,
rear_castor_swivel,-0.00660181780592639,0.00101053944417551,-0.0117555297613057,0,0,0,0.00225929598350003,2.94782544285668E-07,9.84337703679697E-09,-9.07984276209338E-08,2.98485876702089E-07,1.96489684534266E-08,3.24471566266054E-07,0,0,0,0,0,0,package://Assem2/meshes/rear_castor_swivel.STL,0.705882352941176,0.705882352941176,0.705882352941176,1,0,0,0,0,0,0,package://Assem2/meshes/rear_castor_swivel.STL,,Body2_caster-1,rear_castor_swivel,rear_castor_swivel_axis,rear_castor_swivel_joint,continuous,-0.0704903203250691,-8.29198500289507E-05,-0.0560118007276681,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
rear_castor_wheel,-3.33066907387547E-16,4.44089209850063E-16,2.22044604925031E-16,0,0,0,0.00578153317426054,4.39265975263013E-07,2.43950107380631E-08,-5.75352425609861E-23,7.36022338202006E-07,-3.12946531167788E-22,4.37273942643731E-07,0,0,0,0,0,0,package://Assem2/meshes/rear_castor_wheel.STL,0.705882352941176,0.705882352941176,0.705882352941176,1,0,0,0,0,0,0,package://Assem2/meshes/rear_castor_wheel.STL,,Body1_caster-2,rear_castor_wheel,rear_castor_wheel_axis,rear_castor_wheel_joint,continuous,-0.0154485805658529,0.00126149058671188,-0.0232500000000001,0,0,0,rear_castor_swivel,0.0813864894652268,0.996682617151782,0,10,10,,,,,0.1,0.1,,,,
front_ultrasonic,0.00366778084488301,-1.59732521927136E-05,-7.49171350463707E-05,0,0,0,0.00401081291720019,3.75731975535782E-07,-3.25714288876319E-14,9.4369894445709E-15,1.13242599866062E-07,3.5417064497483E-14,3.11874315212592E-07,0,0,0,0,0,0,package://Assem2/meshes/front_ultrasonic.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Assem2/meshes/front_ultrasonic.STL,,HC-SR04.STEP-1,front_ultrasonic,Axis_front_ultrasonic,front_ultrasonic,fixed,0.0811855861771879,-0.000332919850029034,-0.00521180072766803,0,0,0,base_link,0,0,0,,,,,,,,,,,,
right_ultrasonic,-1.59732516995525E-05,-0.00366778084471608,-7.49171356525524E-05,0,0,0,0.00401081291754531,1.13242599866133E-07,3.25714076456338E-14,3.54171113882567E-14,3.75731975535875E-07,-9.43695793964043E-15,3.11874315212634E-07,0,0,0,0,0,0,package://Assem2/meshes/right_ultrasonic.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Assem2/meshes/right_ultrasonic.STL,,HC-SR04.STEP-2,right_ultrasonic,Axis_right_ultrasonic_joint,right_ultrasonic_joint,fixed,-0.0013523670739406,-0.0823708731011579,-0.00521180072766803,0,0,0,base_link,0,0,0,,,,,,,,,,,,
left_ultrasonic,0.000265972889588628,-0.0133077112888942,0.0549250828643494,0,0,0,0.00401081291754678,1.13242599866157E-07,3.25714079434188E-14,-3.5417108211821E-14,3.75731975535903E-07,9.43695719502015E-15,3.11874315212639E-07,0,0,0,0,0,0,package://Assem2/meshes/left_ultrasonic.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Assem2/meshes/left_ultrasonic.STL,,HC-SR04.STEP-4,left_wheel,Axis_left_ultrasonic_joint,left_ultrasonic_joint,fixed,-0.00110236671182662,0.09918052553471,-0.0602118007276669,0,0,0,base_link,0,0,0,,,,,,,,,,,,
